#Top: top_module   Floorplan: impl_1   Part: xczu7ev-ffvc1156-2-e
#Generated by: PC   on: Sat Feb 15 16:59:46 2025
#Build: Vivado v2024.1.2   by: xbuild   on: Thu Sep  5 14:37:11 MDT 2024
#Package Version: PRODUCTION 1.2 10/30/2017
#Package Pin Delay Version: PRODUCTION 1.0 9/2/2016

#The following package pin(s) are connected to master PCIE reset pins, and #    should be tied off to a 1.8V standard - 
IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,OFFSET_CONTROL,EQUALIZATION,Pull Type,DQS_BIAS,DIFF_TERM_ADV,OFFCHIP_TERM,Board Signal,Board Voltage,ODT
28,L23,IOB_X0Y262,IO_L2P_T0L_N2_28,88.549,89.439,,,,,,,,,,,,,,,,,,,,,
28,J22,IOB_X0Y265,IO_L3N_T0L_N5_AD15N_28,86.867,87.740,,,,,,,,,,,,,,,,,,,,,
28,J21,IOB_X0Y264,IO_L3P_T0L_N4_AD15P_28,79.479,80.278,,,,,,,,,,,,,,,,,,,,,
28,K23,IOB_X0Y267,IO_L4N_T0U_N7_DBC_AD7N_28,94.309,95.257,,,,,,,,,,,,,,,,,,,,,
28,K22,IOB_X0Y266,IO_L4P_T0U_N6_DBC_AD7P_28,94.495,95.444,,,,,,,,,,,,,,,,,,,,,
28,H26,IOB_X0Y269,IO_L5N_T0U_N9_AD14N_28,93.175,94.112,,,,,,,,,,,,,,,,,,,,,
28,J25,IOB_X0Y268,IO_L5P_T0U_N8_AD14P_28,97.488,98.467,,,,,,,,,,,,,,,,,,,,,
28,H24,IOB_X0Y271,IO_L6N_T0U_N11_AD6N_28,97.360,98.339,,,,,,,,,,,,,,,,,,,,,
28,J24,IOB_X0Y270,IO_L6P_T0U_N10_AD6P_28,97.940,98.924,,,,,,,,,,,,,,,,,,,,,
28,D19,IOB_X0Y274,IO_L7N_T1L_N1_QBC_AD13N_28,119.332,120.531,,,,,,,,,,,,,,,,,,,,,
28,E19,IOB_X0Y273,IO_L7P_T1L_N0_QBC_AD13P_28,119.165,120.363,,,,,,,,,,,,,,,,,,,,,
28,H22,IOB_X0Y276,IO_L8N_T1L_N3_AD5N_28,110.358,111.467,,,,,,,,,,,,,,,,,,,,,
28,H21,IOB_X0Y275,IO_L8P_T1L_N2_AD5P_28,119.148,120.346,,,,,,,,,,,,,,,,,,,,,
28,D21,IOB_X0Y278,IO_L9N_T1L_N5_AD12N_28,110.087,111.194,,,,,,,,,,,,,,,,,,,,,
28,D20,IOB_X0Y277,IO_L9P_T1L_N4_AD12P_28,111.649,112.771,,,,,,,,,,,,,,,,,,,,,
28,F20,IOB_X0Y280,IO_L10N_T1U_N7_QBC_AD4N_28,134.279,135.629,,,,,,,,,,,,,,,,,,,,,
28,G20,IOB_X0Y279,IO_L10P_T1U_N6_QBC_AD4P_28,134.386,135.736,,,,,,,,,,,,,,,,,,,,,
28,E22,IOB_X0Y282,IO_L11N_T1U_N9_GC_28,107.397,108.477,,,,,,,,,,,,,,,,,,,,,
28,F22,IOB_X0Y281,IO_L11P_T1U_N8_GC_28,107.999,109.085,,,,,,,,,,,,,,,,,,,,,
28,F21,IOB_X0Y284,IO_L12N_T1U_N11_GC_28,117.642,118.825,,,,,,,,,,,,,,,,,,,,,
28,G21,IOB_X0Y283,IO_L12P_T1U_N10_GC_28,118.083,119.270,,,,,,,,,,,,,,,,,,,,,
28,E23,IOB_X0Y287,IO_L13N_T2L_N1_GC_QBC_28,90.780,91.693,,,,,,,,,,,,,,,,,,,,,
28,F23,IOB_X0Y286,IO_L13P_T2L_N0_GC_QBC_28,90.645,91.556,,,,,,,,,,,,,,,,,,,,,
28,G24,IOB_X0Y289,IO_L14N_T2L_N3_GC_28,101.861,102.884,,,,,,,,,,,,,,,,,,,,,
28,G23,IOB_X0Y288,IO_L14P_T2L_N2_GC_28,102.219,103.247,,,,,,,,,,,,,,,,,,,,,
28,C22,IOB_X0Y291,IO_L15N_T2L_N5_AD11N_28,100.365,101.374,,,,,,,,,,,,,,,,,,,,,
28,C21,IOB_X0Y290,IO_L15P_T2L_N4_AD11P_28,101.856,102.879,,,,,,,,,,,,,,,,,,,,,
28,D24,IOB_X0Y293,IO_L16N_T2U_N7_QBC_AD3N_28,93.011,93.945,,,,,,,,,,,,,,,,,,,,,
28,E24,IOB_X0Y292,IO_L16P_T2U_N6_QBC_AD3P_28,93.390,94.328,,,,,,,,,,,,,,,,,,,,,
28,C23,IOB_X0Y295,IO_L17N_T2U_N9_AD10N_28,98.494,99.483,,,,,,,,,,,,,,,,,,,,,
28,D22,IOB_X0Y294,IO_L17P_T2U_N8_AD10P_28,95.921,96.885,,,,,,,,,,,,,,,,,,,,,
28,G26,IOB_X0Y297,IO_L18N_T2U_N11_AD2N_28,81.753,82.575,,,,,,,,,,,,,,,,,,,,,
28,G25,IOB_X0Y296,IO_L18P_T2U_N10_AD2P_28,82.907,83.741,,,,,,,,,,,,,,,,,,,,,
28,A18,IOB_X0Y299,IO_L19P_T3L_N0_DBC_AD9P_28,131.737,133.061,,,,,,,,,,,,,,,,,,,,,
28,C19,IOB_X0Y302,IO_L20N_T3L_N3_AD1N_28,128.677,129.970,,,,,,,,,,,,,,,,,,,,,
28,B19,IOB_X0Y306,IO_L22N_T3U_N7_DBC_AD0N_28,131.408,132.729,,,,,,,,,,,,,,,,,,,,,
28,B18,IOB_X0Y305,IO_L22P_T3U_N6_DBC_AD0P_28,131.383,132.703,,,,,,,,,,,,,,,,,,,,,
28,A23,IOB_X0Y308,IO_L23N_T3U_N9_28,107.575,108.656,,,,,,,,,,,,,,,,,,,,,
28,B21,IOB_X0Y310,IO_L24N_T3U_N11_28,112.874,114.008,,,,,,,,,,,,,,,,,,,,,
28,B20,IOB_X0Y309,IO_L24P_T3U_N10_28,115.436,116.596,,,,,,,,,,,,,,,,,,,,,
28,E21,,VCCO_28,,,,,,,,,,,,,,,,,,,,,VCCO_28,1.80,
28,F24,,VCCO_28,,,,,,,,,,,,,,,,,,,,,VCCO_28,1.80,
28,H20,,VCCO_28,,,,,,,,,,,,,,,,,,,,,VCCO_28,1.80,
28,M23,,VREF_28,,,,,,,,,,,,,,,,,,,,,,,
64,AP14,IOB_X2Y64,IO_T0U_N12_VRP_64,152.610,154.144,,,,,,,,,,,,,,,,,,,,,
64,AL17,IOB_X2Y77,IO_T1U_N12_64,113.960,115.105,,,,,,,,,,,,,,,,,,,,,
64,AH16,IOB_X2Y90,IO_T2U_N12_64,111.571,112.692,,,,,,,,,,,,,,,,,,,,,
64,AP17,IOB_X2Y53,IO_L1N_T0L_N1_DBC_64,131.014,132.331,,,,,,,,,,,,,,,,,,,,,
64,AP18,IOB_X2Y52,IO_L1P_T0L_N0_DBC_64,131.564,132.886,,,,,,,,,,,,,,,,,,,,,
64,AP13,IOB_X2Y55,IO_L2N_T0L_N3_64,158.649,160.243,,,,,,,,,,,,,,,,,,,,,
64,AN13,IOB_X2Y54,IO_L2P_T0L_N2_64,157.794,159.380,,,,,,,,,,,,,,,,,,,,,
64,AN18,IOB_X2Y57,IO_L3N_T0L_N5_AD15N_64,131.480,132.801,,,,,,,,,,,,,,,,,,,,,
64,AM18,IOB_X2Y56,IO_L3P_T0L_N4_AD15P_64,130.726,132.040,,,,,,,,,,,,,,,,,,,,,
64,AN14,IOB_X2Y59,IO_L4N_T0U_N7_DBC_AD7N_64,153.481,155.024,,,,,,,,,,,,,,,,,,,,,
64,AM14,IOB_X2Y58,IO_L4P_T0U_N6_DBC_AD7P_64,152.938,154.475,,,,,,,,,,,,,,,,,,,,,
64,AP15,IOB_X2Y61,IO_L5N_T0U_N9_AD14N_64,144.696,146.150,,,,,,,,,,,,,,,,,,,,,
64,AP16,IOB_X2Y60,IO_L5P_T0U_N8_AD14P_64,141.395,142.816,,,,,,,,,,,,,,,,,,,,,
64,AN16,IOB_X2Y63,IO_L6N_T0U_N11_AD6N_64,130.892,132.207,,,,,,,,,,,,,,,,,,,,,
64,AN17,IOB_X2Y62,IO_L6P_T0U_N10_AD6P_64,132.509,133.841,,,,,,,,,,,,,,,,,,,,,
64,AM15,IOB_X2Y66,IO_L7N_T1L_N1_QBC_AD13N_64,139.828,141.233,,,,,,,,,,,,,,,,,,,,,
64,AM16,IOB_X2Y65,IO_L7P_T1L_N0_QBC_AD13P_64,139.372,140.772,,,,,,,,,,,,,,,,,,,,,
64,AL15,IOB_X2Y68,IO_L8N_T1L_N3_AD5N_64,134.471,135.823,,,,,,,,,,,,,,,,,,,,,
64,AL16,IOB_X2Y67,IO_L8P_T1L_N2_AD5P_64,130.830,132.145,,,,,,,,,,,,,,,,,,,,,
64,AL18,IOB_X2Y70,IO_L9N_T1L_N5_AD12N_64,117.603,118.785,,,,,,,,,,,,,,,,,,,,,
64,AK18,IOB_X2Y69,IO_L9P_T1L_N4_AD12P_64,119.476,120.677,,,,,,,,,,,,,,,,,,,,,
64,AK14,IOB_X2Y72,IO_L10N_T1U_N7_QBC_AD4N_64,136.538,137.910,,,,,,,,,,,,,,,,,,,,,
64,AK15,IOB_X2Y71,IO_L10P_T1U_N6_QBC_AD4P_64,135.896,137.262,,,,,,,,,,,,,,,,,,,,,
64,AK17,IOB_X2Y74,IO_L11N_T1U_N9_GC_64,115.814,116.978,,,,,,,,,,,,,,,,,,,,,
64,AJ17,IOB_X2Y73,IO_L11P_T1U_N8_GC_64,117.008,118.184,,,,,,,,,,,,,,,,,,,,,
64,AJ15,IOB_X2Y76,IO_L12N_T1U_N11_GC_64,119.651,120.853,,,,,,,,,,,,,,,,,,,,,
64,AJ16,IOB_X2Y75,IO_L12P_T1U_N10_GC_64,120.433,121.643,,,,,,,,,,,,,,,,,,,,,
64,AH17,IOB_X2Y79,IO_L13N_T2L_N1_GC_QBC_64,129.371,130.671,,,,,,,,,,,,,,,,,,,,,
64,AH18,IOB_X2Y78,IO_L13P_T2L_N0_GC_QBC_64,130.054,131.361,,,,,,,,,,,,,,,,,,,,,
64,AG18,IOB_X2Y81,IO_L14N_T2L_N3_GC_64,112.025,113.150,,,,,,,,,,,,,,,,,,,,,
64,AF18,IOB_X2Y80,IO_L14P_T2L_N2_GC_64,111.264,112.382,,,,,,,,,,,,,,,,,,,,,
64,AF17,IOB_X2Y83,IO_L15N_T2L_N5_AD11N_64,110.462,111.572,,,,,,,,,,,,,,,,,,,,,
64,AE17,IOB_X2Y82,IO_L15P_T2L_N4_AD11P_64,111.138,112.255,,,,,,,,,,,,,,,,,,,,,
64,AJ14,IOB_X2Y85,IO_L16N_T2U_N7_QBC_AD3N_64,137.244,138.624,,,,,,,,,,,,,,,,,,,,,
64,AH14,IOB_X2Y84,IO_L16P_T2U_N6_QBC_AD3P_64,137.856,139.241,,,,,,,,,,,,,,,,,,,,,
64,AF15,IOB_X2Y87,IO_L17N_T2U_N9_AD10N_64,110.975,112.090,,,,,,,,,,,,,,,,,,,,,
64,AF16,IOB_X2Y86,IO_L17P_T2U_N8_AD10P_64,114.851,116.005,,,,,,,,,,,,,,,,,,,,,
64,AG14,IOB_X2Y89,IO_L18N_T2U_N11_AD2N_64,126.689,127.962,,,,,,,,,,,,,,,,,,,,,
64,AG15,IOB_X2Y88,IO_L18P_T2U_N10_AD2P_64,129.341,130.641,,,,,,,,,,,,,,,,,,,,,
64,AE15,IOB_X2Y92,IO_L19N_T3L_N1_DBC_AD9N_64,85.047,85.901,,,,,,,,,,,,,,,,,,,,,
64,AD15,IOB_X2Y91,IO_L19P_T3L_N0_DBC_AD9P_64,83.971,84.815,,,,,,,,,,,,,,,,,,,,,
64,AC16,IOB_X2Y94,IO_L20N_T3L_N3_AD1N_64,71.312,72.029,,,,,,,,,,,,,,,,,,,,,
64,AC17,IOB_X2Y93,IO_L20P_T3L_N2_AD1P_64,77.892,78.674,,,,,,,,,,,,,,,,,,,,,
64,AB15,IOB_X2Y96,IO_L21N_T3L_N5_AD8N_64,71.906,72.629,,,,,,,,,,,,,,,,,,,,,
64,AB16,IOB_X2Y95,IO_L21P_T3L_N4_AD8P_64,72.783,73.515,,,,,,,,,,,,,,,,,,,,,
64,AA16,IOB_X2Y97,IO_L22P_T3U_N6_DBC_AD0P_64,72.582,73.311,,,,,,,,,,,,,,,,,,,,,
64,AB14,IOB_X2Y100,IO_L23N_T3U_N9_64,73.205,73.941,,,,,,,,,,,,,,,,,,,,,
64,AD16,IOB_X2Y102,IO_L24N_T3U_N11_64,92.048,92.973,,,,,,,,,,,,,,,,,,,,,
64,AD17,IOB_X2Y101,IO_L24P_T3U_N10_64,99.509,100.509,,,,,,,,,,,,,,,,,,,,,
64,AE16,,VCCO_64,,,,,,,,,,,,,,,,,,,,,VCCO_64,1.20,
64,AG16,,VREF_64,,,,,,,,,,,,,,,,,,,,,,,
64,AH15,,VCCO_64,,,,,,,,,,,,,,,,,,,,,VCCO_64,1.20,
64,AJ18,,VCCO_64,,,,,,,,,,,,,,,,,,,,,VCCO_64,1.20,
65,AM20,IOB_X2Y116,IO_T0U_N12_VRP_65,150.323,151.833,,,,,,,,,,,,,,,,,,,,,
65,AH19,IOB_X2Y129,IO_T1U_N12_65,152.361,153.892,,,,,,,,,,,,,,,,,,,,,
65,AF20,IOB_X2Y142,IO_T2U_N12_65,118.146,119.334,,,,,,,,,,,,,,,,,,,,,
65,AE22,IOB_X2Y155,IO_T3U_N12_65,119.749,120.953,,,,,,,,,,,,,,,,,,,,,
65,AP20,IOB_X2Y105,IO_L1N_T0L_N1_DBC_65,150.804,152.320,,,,,,,,,,,,,,,,,,,,,
65,AP19,IOB_X2Y104,IO_L1P_T0L_N0_DBC_65,151.182,152.701,,,,,,,,,,,,,,,,,,,,,
65,AN19,IOB_X2Y107,IO_L2N_T0L_N3_65,153.599,155.142,,,,,,,,,,,,,,,,,,,,,
65,AM19,IOB_X2Y106,IO_L2P_T0L_N2_65,159.994,161.602,,,,,,,,,,,,,,,,,,,,,
65,AP22,IOB_X2Y109,IO_L3N_T0L_N5_AD15N_65,158.478,160.071,,,,,,,,,,,,,,,,,,,,,
65,AP21,IOB_X2Y108,IO_L3P_T0L_N4_AD15P_65,156.665,158.239,,,,,,,,,,,,,,,,,,,,,
65,AN21,IOB_X2Y111,IO_L4N_T0U_N7_DBC_AD7N_65,166.974,168.652,,,,,,,,,,,,,,,,,,,,,
65,AM21,IOB_X2Y110,IO_L4P_T0U_N6_DBC_AD7P_SMBALERT_65,166.975,168.653,,,,,,,,,,,,,,,,,,,,,
65,AP23,IOB_X2Y113,IO_L5N_T0U_N9_AD14N_65,172.060,173.790,,,,,,,,,,,,,,,,,,,,,
65,AN22,IOB_X2Y112,IO_L5P_T0U_N8_AD14P_65,167.514,169.198,,,,,,,,,,,,,,,,,,,,,
65,AN23,IOB_X2Y115,IO_L6N_T0U_N11_AD6N_65,165.511,167.174,,,,,,,,,,,,,,,,,,,,,
65,AM23,IOB_X2Y114,IO_L6P_T0U_N10_AD6P_65,169.691,171.396,,,,,,,,,,,,,,,,,,,,,
65,AL21,IOB_X2Y118,IO_L7N_T1L_N1_QBC_AD13N_65,168.812,170.509,,,,,,,,,,,,,,,,,,,,,
65,AL20,IOB_X2Y117,IO_L7P_T1L_N0_QBC_AD13P_65,168.472,170.166,,,,,,,,,,,,,,,,,,,,,
65,AL23,IOB_X2Y120,IO_L8N_T1L_N3_AD5N_65,149.908,151.415,,,,,,,,,,,,,,,,,,,,,
65,AL22,IOB_X2Y119,IO_L8P_T1L_N2_AD5P_65,144.393,145.845,,,,,,,,,,,,,,,,,,,,,
65,AK19,IOB_X2Y122,IO_L9N_T1L_N5_AD12N_65,166.727,168.403,,,,,,,,,,,,,,,,,,,,,
65,AJ19,IOB_X2Y121,IO_L9P_T1L_N4_AD12P_65,166.817,168.493,,,,,,,,,,,,,,,,,,,,,
65,AK23,IOB_X2Y124,IO_L10N_T1U_N7_QBC_AD4N_65,146.581,148.054,,,,,,,,,,,,,,,,,,,,,
65,AK22,IOB_X2Y123,IO_L10P_T1U_N6_QBC_AD4P_65,146.341,147.812,,,,,,,,,,,,,,,,,,,,,
65,AK20,IOB_X2Y126,IO_L11N_T1U_N9_GC_65,146.231,147.701,,,,,,,,,,,,,,,,,,,,,
65,AJ20,IOB_X2Y125,IO_L11P_T1U_N8_GC_65,145.798,147.264,,,,,,,,,,,,,,,,,,,,,
65,AJ22,IOB_X2Y128,IO_L12N_T1U_N11_GC_65,141.775,143.200,,,,,,,,,,,,,,,,,,,,,
65,AJ21,IOB_X2Y127,IO_L12P_T1U_N10_GC_65,141.862,143.288,,,,,,,,,,,,,,,,,,,,,
65,AH23,IOB_X2Y131,IO_L13N_T2L_N1_GC_QBC_65,134.500,135.852,,,,,,,,,,,,,,,,,,,,,
65,AH22,IOB_X2Y130,IO_L13P_T2L_N0_GC_QBC_65,134.767,136.121,,,,,,,,,,,,,,,,,,,,,
65,AH21,IOB_X2Y133,IO_L14N_T2L_N3_GC_65,132.854,134.189,,,,,,,,,,,,,,,,,,,,,
65,AG21,IOB_X2Y132,IO_L14P_T2L_N2_GC_65,132.854,134.189,,,,,,,,,,,,,,,,,,,,,
65,AG20,IOB_X2Y135,IO_L15N_T2L_N5_AD11N_65,136.194,137.563,,,,,,,,,,,,,,,,,,,,,
65,AG19,IOB_X2Y134,IO_L15P_T2L_N4_AD11P_65,138.746,140.140,,,,,,,,,,,,,,,,,,,,,
65,AG23,IOB_X2Y137,IO_L16N_T2U_N7_QBC_AD3N_65,131.773,133.097,,,,,,,,,,,,,,,,,,,,,
65,AF23,IOB_X2Y136,IO_L16P_T2U_N6_QBC_AD3P_65,131.587,132.909,,,,,,,,,,,,,,,,,,,,,
65,AF22,IOB_X2Y139,IO_L17N_T2U_N9_AD10N_65,118.493,119.684,,,,,,,,,,,,,,,,,,,,,
65,AF21,IOB_X2Y138,IO_L17P_T2U_N8_AD10P_65,113.130,114.267,,,,,,,,,,,,,,,,,,,,,
